;meta[language=zh]
; id      |key(hex)|key(str)| text
   1001956|00000000||查看圖畫
   1010557|b5a098d5||莎莎
   1030890|00000000||取得大獅鷲的強酸
    592263|00000000||利用狩魔獵人的感官能力找到妖怪從水中出現的地方
   1071257|73e75aa8||對抗亞人與一般野獸有效。
   1069036|0b5e880d||惡臭的熱情：占起士學
   1078836|00000000||尋寶：熊學派裝備升級藍圖─（四）
   1078835|00000000||尋寶：熊學派裝備升級藍圖─（三）
   1078834|00000000||尋寶：熊學派裝備升級藍圖─（二）
   1078833|00000000||尋寶：熊學派裝備升級藍圖─（一）
   1077859|00000000||傳送門
   1077846|00000000||傳送門
   1078101|00000000||尋找盜墓者的箱子
   1073388|00000000||對話 - 選項
   1073412|00000000||按住 <<PCAlternate>> 再按 <<AttackWithAlternateLight_mod>> 對維瑟米爾進行強擊
   1073410|00000000||按下<<AttackWithAlternateLight>>針對維瑟米爾展開速攻。
   1076257|00000000||按下<<ThrowItem>>召喚火球，會擊中你目前所在位置。
   1076231|2e8ae8a7||數字鍵盤 -
   1076230|94c6fa88||數字鍵盤 Enter
   1076229|751eaa83||數字鍵盤 +
   1076228|7520233b||數字鍵盤 *
   1076235|86435a35||Scroll Lock
   1076233|2ee0a1b4||數字鍵盤 /
   1076232|a7b9fc6a||數字鍵盤 .
   1076241|54561b6c||滑鼠 4
   1076401|00000000||重要地點標註
   1076379|b4c7ffbf||以燒灼術治療癤子：研究紀錄
   1076377|b4c7ffbe||妓女莫瑞的歡樂冒險，附有幽默插圖
   1076551|00000000||技能的顏色暗示了該技能隸屬於哪個分支。
   1076545|00000000||選擇一項能力，用 <<IK_RightMouse>> 點擊培養。
   1076495|b4c7ffbd||起士占卜學，以起士為占卜媒介的神聖藝術
   1076492|b4c7ffbc||莫瑞邦地亞：吸血鬼的的最終畫像
   1076503|00000000||用<<Mouse>>選擇地點，再按兩下滑鼠前往該地點。
   1076655|00000000||利用 <<Mouse>> 選擇<font color="#CD7D03">亞克席之印</font>，並按下 <<IK_LeftMouse>> 激發。
   1076659|00000000||利用 <<Mouse>> 選擇<font color="#CD7D03">亞登之印</font>，並按下 <<IK_LeftMouse>> 激發。
   1076657|00000000||利用 <<Mouse>> 選擇<font color="#CD7D03">伊格尼之印</font>，並按下 <<IK_LeftMouse>> 激發。
   1076769|00000000||按住 <<PCAlternate>> 和 <<AttackWithAlternateLight_mod>> 進行衝鋒攻擊。<br><br>按住越久，攻擊範圍越大。
   1076767|00000000||按下<<AttackWithAlternateLight>>挑釁對手，讓他馬上展開攻擊。
   1076764|00000000||繼續探索園內其他地區
   1075370|00000000||想要展開速攻，請按下<<AttackWithAlternateLight>>。
   1075376|00000000||要使用強擊，按住 <<PCAlternate>> 並按下 <<AttackWithAlternateLight_mod>><br><br>強擊的速度比速攻慢，但是能夠對強大的敵人造成更多傷害。<br><br>弱小的敵人無法格擋強擊。
