;meta[language=cleartext]
; id      |key(hex)|key(str)| text
    110295|79b7a6cc|| ﺗﻢ اﻟﺘﺰوّد ﺑﺎﻟﻌﻨﺼﺮ
    314235|00000000||  ﻣﻌﺮﻛﺔ ﺣﺼﻦ (ﻛﺎر ﻣﻮرھﯾﻦ)
    342419|00000000||  اﻋﺜﺮ ﻋﻠﻰ اﻟﻤﺨﺒﺄ اﻟﺨﺎص ﺑـ (ﻣﻠﻚ اﻟﻤﺘﺴﻮﻟﯿﻦ).
    343480|00000000||   (ﻛﺎر ﻣﻮرھﯾﻦ)
    355797|00000000||  اﺗﺒﻊ اﻟﻠﺺ ﺣﺘﻰ ﯾﺼﻞ إﻟﻰ ﻣﺨﺒﺄ (ﻣﻠﻚ اﻟﻤﺘﺴﻮﻟﯿﻦ).
    355798|00000000||  اﺗﺒﻊ اﻟﻠﺺ ﺣﺘﻰ ﯾﺼﻞ إﻟﻰ ﻣﺨﺒﺄ (ﻣﻠﻚ اﻟﻤﺘﺴﻮﻟﯿﻦ).
    356649|00000000||  ﻗﺎﺑﻞ (ﻣﻠﻚ اﻟﻤﺘﺴﻮﻟﯿﻦ).
    367348|00000000|| ﻟﻘﺪ ذھﺒﺖ إﻟﻰ ﻛﺎزﯾﻨﻮ (اﻟﻮﻏﺪ اﻟﺼﻐﯿﺮ).
    367350|00000000|| ﻟﻘﺪ ذھﺒﺖ إﻟﻰ ﻛﺎزﯾﻨﻮ (اﻟﻮﻏﺪ اﻟﺼﻐﯿﺮ).
    377705|00000000||  ﺗﺤﺪث إﻟﻰ اﻟﻤﺘﺴﻮﻟﯿﻦ ﺑﺸﺄن (ﻣﻠﻚ اﻟﻤﺘﺴﻮﻟﯿﻦ).
    456980|00000000||  أﻋﺮف (اﻟﻮﻏﺪ اﻟﺼﻐﯿﺮ) ﺟﯿﺪًا، وﺑﻐﺾ اﻟﻨﻈﺮ ﻋﻦ ﻣﻜﺎﻧﮫ، ﻓﺈﻧﮫ ﻏﺎﺿﺐ ﺑﻜﻞ ﺗﺄﻛﯿﺪ. وﻟﻦ ﯾﺘﻤﻜﻦ ﻣﻦ اﻟﺴﯿﻄﺮة ﻋﻠﻰ ﻧﻔﺴﮫ، وﺳﯿﻐﺎدر اﻟﻤﻜﺎن اﻟﻠﻌﯿﻦ اﻟﺬي ﯾﺨﺘﻔﻲ ﻓﯿﮫ ﻋﻦ اﻷﻧﻈﺎر.
