;meta[language=hu]
; id      |key(hex)|key(str)| text
    592263|00000000||Witcher érzékeid segítségével kered meg a helyet, ahol a szörny kijött a vízből!
   1047249|baa6fb37||Jesse
   1063965|fc921527||Ideiglenesen hatásként megnöveli egy találomra választott Jel erejét alkonyatkor és hajnalban. Tovább tart, mint más mutagén főzetek.
   1063956|fc921508||Jelentősen korlátozza a Leütés, Hipnózis, Kábulat és Vakság hatások időtartamát.
   1063947|e71d7c8e||Ha van elérhető Állóképesség, az erős támadások elhasználják az összeset, de a megszokott sebzés kiszámítását követően az eltalált ellenfél életereje 10%-kal csökken.
   1064031|3a84c32a||Időtartama hosszabb. A mérgek sebzés helyett gyógyítanak.
   1078833|00000000||Kincsvadászat: Medve iskola felszerelés fejlesztési tervrajzok – 1. rész
   1078834|00000000||Kincsvadászat: Medve iskola felszerelés fejlesztési tervrajzok – 2. rész
   1078835|00000000||Kincsvadászat: Medve iskola felszerelés fejlesztési tervrajzok – 3. rész
   1078836|00000000||Kincsvadászat: Medve iskola felszerelés fejlesztési tervrajzok – 4. rész
   1073388|00000000||Párbeszédek – Opciók
   1073410|00000000||A <<AttackWithAlternateLight>> gomb megnyomásával gyors támadást hajthatsz végre Vesemir ellen.
   1073412|00000000||Hajts végre erős támadást Vesemir ellen a <<PCAlternate>> gomb lenyomva tartásával és a <<AttackWithAlternateLight_mod>> megnyomásával.
   1075722|00000000||Jel használatához nyomd meg a <<CastSign>> gombot.<br><br>A Jelhasználat és bizonyos egyéb cselekvések csökkentik az Állóképességed. Mielőtt ismét Jelet használsz, várnod kell, hogy az Állóképességed regenerálódjon.<br>A Jel kiválasztásához használhatod a gyorsbillentyűket <<SelectAard>> - <<SelectAxii>>
   1075726|00000000||A <<ThrowItem>> gomb megnyomásával lőhetsz ki egy vesszőt számszeríjadból. Pontosabban is célozhatsz, ha a <<ThrowItem>> gombot lenyomva tartod a célzáskor, majd a gombot felengedve kilövöd a vesszőt.<br><br>A felszerelések panelen választhatod ki, milyen vesszőt használnál a számszeríjhoz. Egyes vesszők különleges képességekkel bírnak. A számszeríj taktikai fegyver, hasznos lehet számos helyzetben. Nem sebez viszont olyan sokat, mint a kardok vagy a Jelek.
   1075983|00000000||Lovad hívásához nyomd meg a <<SpawnHorse>> gombot.
   1076122|00000000||A <font color="#CD7D03">köszörűkövekkel</font><<ICO_RepairWeapons>> javíthatod ideiglenesen fegyvereidet.<br><br>A <font color="#CD7D03">páncélkovács munkapadokon</font><<ICO_RepairArmor>> javíthatod ideiglenesen vértezeted.<br><br>A javított tárgyak <font color="#CD7D03">bónuszt kapnak védekezésre vagy sebzésre</font>. Ez a bónusz némi használat után elenyészik, de megújíthatod, ha ismét egy köszörűkövet vagy páncélkovács munkapadot használsz.
   1076214|9dae9bd8||Enter
   1076197|db9330e8||Jobb Ctrl
   1075376|00000000||Erős támadáshoz tartsd lenyomva a <<PCAlternate>> gombot és nyomd le a <<AttackWithAlternateLight_mod>> gombot.<br><br>Az erős támadások lassabbak, mint a gyors támadások, de nagyobb sebzést okoznak a kemény ellenfeleknek.<br><br>A gyenge ellenfelek nem tudják hárítani az erős támadásokat.
   1075370|00000000||A <<AttackWithAlternateLight>> gomb megnyomásával gyors támadást hajthatsz végre.
   1076767|00000000||A <<AttackWithAlternateLight>> gomb megnyomásával támadásra késztethetsz egy ellenséget.
   1076769|00000000||Tartsd lenyomva a <<PCAlternate>> és <<AttackWithAlternateLight_mod>> gombokat a rohamhoz.<br><br>Minél tovább tartod lenyomva a gombot, annál nagyobb hatósugarú lesz a támadásod.
   1076232|a7b9fc6a||. (Szám bill.)
   1076233|2ee0a1b4||/ (Szám bill.)
   1076228|7520233b||* (Szám bill.)
   1076229|751eaa83||+ (Szám bill.)
   1076231|2e8ae8a7||- (Szám bill.)
   1076377|b4c7ffbe||Muriel, a bájos szajha vidám kalandjai, tréfás illusztrációkkal
   1076379|b4c7ffbf||Furunkulusok kezelése kiégetéssel. Tanulmány
   1076503|00000000||Válaszd ki a célállomást az <<Mouse>>segítségével, majd kattints duplán az oda utazáshoz.
   1076492|b4c7ffbc||Moribundia: A vámpír utolsó képmása
   1076495|b4c7ffbd||Tiromancia, avagy a sajtjóslás nemes művészete
   1076545|00000000||Válassz egy képességet és kattints rá a <<IK_RightMouse>> használatával a fejlesztéséhez.
   1076657|00000000||Válaszd ki az <font color="#CD7D03">Igni Jelet</font> a <<Mouse>> segítségével, majd aktiváld a <<IK_LeftMouse>> lenyomásával.
   1076659|00000000||Válaszd ki az <font color="#CD7D03">Yrden Jelet</font> a <<Mouse>> segítségével, majd aktiváld a <<IK_LeftMouse>> lenyomásával.
   1076655|00000000||Válaszd ki az <font color="#CD7D03">Axii Jelet</font> a <<Mouse>> segítségével, majd aktiváld a <<IK_LeftMouse>> lenyomásával.
   1069036|0b5e880d||Átható szenvedély: élet és tiromancia
   1093656|1b2e2bfa||[reszketeg kézzel írott levél]<br><br>Drága Lisbeth!<br><br>Sietve írok neked – a bástya és az őrtorony már lángokban áll! Túl korán támadtak! Az elegy továbbra is instabil, de meg kell kísérelnem a használatát, hogy elmeneküljek innen.<br><br>Amint a vércse odaér a levéllel, keresd meg Leticia Charbonneau-t. Nem lehet tudni, ezen az instabil portálon át hol bukkanok ki – csak ő lesz képes meghatározni a helyzetem.<br><br>Ha vonakodna segíteni, mesélj neki a mutagénekről, amiket a witcherek laborjából loptam – azok a gombák és füvek igazi kincsek, amik segítenek majd folytatni a himlővel és tetanusszal foglalkozó kutatásait. Ilyen adományért bizonyos vagyok, hogy segít egy varázslótársán, még ha az renegát és a Konklávé által üldözött is.<br><br>Ha minden jól megy – hamarosan találkozunk!
   1093657|203d5553||Levél
